region,district,ward,village
DODOMA,KONDOA,BUMBUTA,BUMBUTA
DODOMA,KONDOA,BUMBUTA,MAHONGO
DODOMA,KONDOA,BUMBUTA,MAUNO
DODOMA,KONDOA,PAHI,PAHI
DODOMA,KONDOA,PAHI,POTEA
DODOMA,KONDOA,PAHI,SALARE
DODOMA,KONDOA,PAHI,KITEO
DODOMA,KONDOA,BUSI,BUSI
DODOMA,KONDOA,BUSI,SAMBWA
DODOMA,KONDOA,BUSI,KEIKEI
DODOMA,KONDOA,BUSI,IDINDIRI
DODOMA,KONDOA,BUSI,IHARI
DODOMA,KONDOA,BUSI,ISUSUMYA
DODOMA,KONDOA,HAUBI,HAUBI
DODOMA,KONDOA,HAUBI,NTOMOKO
DODOMA,KONDOA,HAUBI,MAFAI
DODOMA,KONDOA,KALAMBA,BAURA
DODOMA,KONDOA,KALAMBA,KALAMBA_CHINI
DODOMA,KONDOA,KALAMBA,HEBI_CHINI
DODOMA,KONDOA,KALAMBA,LOO
DODOMA,KONDOA,KALAMBA,HEBI_JUU
DODOMA,KONDOA,KALAMBA,KALAMBA_JUU
DODOMA,KONDOA,KWADELO,KWADELO
DODOMA,KONDOA,KWADELO,KIRERE_CHA_NGOMBE
DODOMA,KONDOA,KWADELO,MAKIRINYA
DODOMA,KONDOA,MASANGE,MASANGE
DODOMA,KONDOA,MASANGE,KWAYONDU
DODOMA,KONDOA,KIKILO,KIKILO_KATI
DODOMA,KONDOA,KIKILO,KIKILO_ORORIMO
DODOMA,KONDOA,KIKILO,KWAHENGWA
DODOMA,KONDOA,KIKILO,BERABERA
DODOMA,KONDOA,BEREKO,PUHI
DODOMA,KONDOA,BEREKO,BEREKO
DODOMA,KONDOA,KISESE,MAPINDUZI
DODOMA,KONDOA,KISESE,KISESE_SAUNA
DODOMA,KONDOA,KISESE,MADISA
DODOMA,KONDOA,KISESE,KISESE_DISSA
DODOMA,KONDOA,KISESE,ATTA
DODOMA,KONDOA,KIKORE,KIKORE
DODOMA,KONDOA,KIKORE,MADEGE
DODOMA,KONDOA,KIKORE,HURUI
DODOMA,KONDOA,KIKORE,MITATI
DODOMA,KONDOA,KIKORE,MKURUMUZI
DODOMA,KONDOA,SERYA,MONGOROMA
DODOMA,KONDOA,SERYA,CHADIMU
DODOMA,KONDOA,SERYA,MUNGURI
DODOMA,KONDOA,SERYA,SERYA
DODOMA,KONDOA,KILIMANI,KWANTISI
DODOMA,KONDOA,KILIMANI,BICHA
DODOMA,KONDOA,KILIMANI,KILIMANI
DODOMA,KONDOA,KILIMANI,DAMAI
DODOMA,KONDOA,CHEMCHEM,KWAPAKACHA
DODOMA,KONDOA,CHEMCHEM,UBEMBENI
DODOMA,KONDOA,CHEMCHEM,IBONI
DODOMA,KONDOA,CHEMCHEM,CHEMCHEM
DODOMA,KONDOA,HONDOMAIRO,MWEMBENI
DODOMA,KONDOA,HONDOMAIRO,HONDOMAIRO
DODOMA,KONDOA,HONDOMAIRO,MTIBYANGWI
DODOMA,KONDOA,BOLISA,ITISO
DODOMA,KONDOA,BOLISA,BOLISA
DODOMA,KONDOA,BOLISA,POISA
DODOMA,KONDOA,KINYASI,KINYASI_MAJENGO
DODOMA,KONDOA,KINYASI,KINYASI_KATI
DODOMA,KONDOA,KINYASI,IKENGWA
DODOMA,KONDOA,KINYASI,ISONGOLO
DODOMA,KONDOA,SALANKA,MAKAFA
DODOMA,KONDOA,SALANKA,LEMBO
DODOMA,KONDOA,SALANKA,SALANKA
DODOMA,KONDOA,SALANKA,MASAWI
DODOMA,KONDOA,SALANKA,ALAGAWA
DODOMA,KONDOA,ITOLOLO,MANGOLO
DODOMA,KONDOA,ITOLOLO,KANDAGA
DODOMA,KONDOA,ITOLOLO,ITOLOLO
DODOMA,KONDOA,ITOLOLO,MKEKENA
DODOMA,KONDOA,ITOLOLO,MACHINJIONI
DODOMA,KONDOA,ITASWI,ITASWI
DODOMA,KONDOA,ITASWI,HAIRE
DODOMA,KONDOA,ITASWI,KISAKI
DODOMA,KONDOA,ITASWI,CHUBI
DODOMA,KONDOA,SURUKE,MLUA
DODOMA,KONDOA,SURUKE,TUNGUFU
DODOMA,KONDOA,KINGALE,KINGALE
DODOMA,KONDOA,KINGALE,TAMPORI
DODOMA,KONDOA,KINGALE,IYOLI
DODOMA,KONDOA,KINGALE,CHEMCHEM
DODOMA,KONDOA,KONDOA_MJINI,MNINGANI
DODOMA,KONDOA,KONDOA_MJINI,KICHANGANI
DODOMA,KONDOA,KONDOA_MJINI,TURA
DODOMA,KONDOA,KONDOA_MJINI,MNARANI
DODOMA,KONDOA,KOLO,KOLO
DODOMA,KONDOA,KOLO,CHOKA
DODOMA,KONDOA,KOLO,HACHWI
DODOMA,KONDOA,CHANGAA,KWAMAFUNCHI
DODOMA,KONDOA,CHANGAA,CHANGAA
DODOMA,KONDOA,CHANGAA,TUMBELO
DODOMA,KONDOA,CHANGAA,CHOLOLO
DODOMA,KONDOA,THAWI,SAKAMI
DODOMA,KONDOA,THAWI,THAWI_MADUKANI
DODOMA,KONDOA,THAWI,THAWI_JUU
DODOMA,KONDOA,MNENIA,MNENIA
DODOMA,KONDOA,MNENIA,ITUNDWI
DODOMA,KONDOA,MNENIA,FILIMO
DODOMA,KONDOA,MNENIA,BAMBARE
DODOMA,KONDOA,SOERA,SOERA
DODOMA,KONDOA,SOERA,BUKULU
DODOMA,KONDOA,SOERA,HUMAI
DODOMA,KONDOA,SOERA,KWADINU
DODOMA,MPWAPWA,MAZAE,MAZAE
DODOMA,MPWAPWA,MAZAE,KISOKWE
DODOMA,MPWAPWA,MAZAE,IDILO
DODOMA,MPWAPWA,VINGHAWE,VINGHAWE
DODOMA,MPWAPWA,VINGHAWE,MANGHANGU
DODOMA,MPWAPWA,VINGHAWE,ISINGHU
DODOMA,MPWAPWA,MATOMONDO,MBORI
DODOMA,MPWAPWA,MATOMONDO,TAMBI
DODOMA,MPWAPWA,MATOMONDO,MIEMBULE
DODOMA,MPWAPWA,MATOMONDO,MWENZERE
DODOMA,MPWAPWA,KIMAGAI,INZOMVU
DODOMA,MPWAPWA,KIMAGAI,KIMAGAI
DODOMA,MPWAPWA,KIBAKWE,IYENGE
DODOMA,MPWAPWA,KIBAKWE,KIBAKWE
DODOMA,MPWAPWA,KIBAKWE,CHAMTUMILE
DODOMA,MPWAPWA,LUMUMA,LUFUSI
DODOMA,MPWAPWA,LUMUMA,KITATI
DODOMA,MPWAPWA,LUMUMA,MAFENE
DODOMA,MPWAPWA,LUHUNDWA,IKUYU
DODOMA,MPWAPWA,LUHUNDWA,LUHUNDWA
DODOMA,MPWAPWA,LUHUNDWA,KIDENGE
DODOMA,MPWAPWA,MASSA,MAKOSE
DODOMA,MPWAPWA,MASSA,CHOGOLA
DODOMA,MPWAPWA,MASSA,WINZA
DODOMA,MPWAPWA,MASSA,NJIA_PANDA
DODOMA,MPWAPWA,IPERA,KINUSI
DODOMA,MPWAPWA,IPERA,MANGALIZA
DODOMA,MPWAPWA,IPERA,KIKUYU
DODOMA,MPWAPWA,RUDI,CHILENDU
DODOMA,MPWAPWA,RUDI,SINGONHALI
DODOMA,MPWAPWA,RUDI,MTAMBA
DODOMA,MPWAPWA,MLUNDUZI,CHINYIKA
DODOMA,MPWAPWA,MLUNDUZI,CHINYANGHUKU
DODOMA,MPWAPWA,MLUNDUZI,WIYENZELE
DODOMA,MPWAPWA,WOTTA,MLUNGA
DODOMA,MPWAPWA,WOTTA,MWANAWOTTA
DODOMA,MPWAPWA,WOTTA,LWIHOMELO
DODOMA,MPWAPWA,WOTTA,WANGI
DODOMA,MPWAPWA,WOTTA,KIDABAGA
DODOMA,MPWAPWA,MIMA,MIMA
DODOMA,MPWAPWA,MIMA,SAZIMA
DODOMA,MPWAPWA,MIMA,IGOJI
DODOMA,MPWAPWA,MIMA,CHAMANDA
DODOMA,MPWAPWA,BEREGE,BEREGE
DODOMA,MPWAPWA,BEREGE,MZASE
DODOMA,MPWAPWA,BEREGE,MKANANA
DODOMA,MPWAPWA,CHUNYU,CHUNYU
DODOMA,MPWAPWA,CHUNYU,MSAGALI
DODOMA,MPWAPWA,MBUGA,KIZI
DODOMA,MPWAPWA,MBUGA,MBUGA
DODOMA,MPWAPWA,MBUGA,IGULUWI
DODOMA,MPWAPWA,GODEGODE,GODEGODE
