_partition,_aspect,_key,_type,_value
Column,equip_failed,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,equip_failed_list,displayChoicesList,object,"[{""choice_list_name"":""equip_list"",""data_value"":""charging_cylinder"",""display"":{""title"":{""text"":""Charging Cylinder""}},""_row_num"":9},{""choice_list_name"":""equip_list"",""data_value"":""condenser_fan"",""display"":{""title"":{""text"":""Condenser Fan""}},""_row_num"":10},{""choice_list_name"":""equip_list"",""data_value"":""door_gasket"",""display"":{""title"":{""text"":""Door Gasket""}},""_row_num"":11},{""choice_list_name"":""equip_list"",""data_value"":""electric_compressor"",""display"":{""title"":{""text"":""Electric Compressor""}},""_row_num"":12},{""choice_list_name"":""equip_list"",""data_value"":""solar_compressor"",""display"":{""title"":{""text"":""Solar Compressor""}},""_row_num"":13},{""choice_list_name"":""equip_list"",""data_value"":""thermostat"",""display"":{""title"":{""text"":""Thermostat""}},""_row_num"":14}]"
Column,equip_resolved,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,freeze_exc,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,have_issues,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,heat_exc,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,kit_at_install,displayChoicesList,object,"[{""choice_list_name"":""yes_no_dont_know"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":5},{""choice_list_name"":""yes_no_dont_know"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":6},{""choice_list_name"":""yes_no_dont_know"",""data_value"":""dont_know"",""display"":{""title"":{""text"":""Don't Know""}},""_row_num"":7}]"
Column,temp_exceed,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,working,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,indicators
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"{""text"":""PMM Indicators""}"
