_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_create_user,_last_update_user,_deleted,_data_etag_at_modification,district,region,subvillage,veo,village,ward,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
005a6700-da93-4c36-a3f0-6d992e24af73,,default,COMPLETE,2018-07-30T08:14:24.389000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Chamwino,Dodoma,,,Wiliko,Mlowa Bwawani,FULL,,,,uuid:ed0868a1-12ec-4e56-a426-80b22423ac51,
007ee0c9-cce0-4a62-bc1c-45bdd77efbfe,,default,COMPLETE,2018-07-30T08:14:47.945000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Mbulu District Council,Manyara,,,Endamaks,Endagikot Ward,FULL,,,,uuid:ec14086d-d9ec-4f44-86c1-d52e752e9ec7,
00b572e4-3aed-4010-aa28-08cecf2d83cc,,default,COMPLETE,2018-07-30T08:14:35.134000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Chemba,Dodoma,,,Lahoda,Lalta,FULL,,,,uuid:c74abb0d-5a13-4f27-b1c9-37973d51e23f,
00d25682-d456-45f8-aeae-1e49c7a7c20a,,default,COMPLETE,2018-07-30T08:14:39.893000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Babati District Council,Manyara,,,Bermi,Dareda Ward,FULL,,,,uuid:766e897e-e989-4a0a-b1e4-44a4165e3977,
00f22cd7-370a-4a05-82ca-64c525d3c91c,,default,COMPLETE,2018-07-30T08:14:39.368000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Babati District Council,Manyara,,,Yarotonik,Duru Ward,FULL,,,,uuid:b9be290c-4385-4580-93a8-56267852a558,
011779ef-4920-4355-9e13-e6cb22c734a0,,default,COMPLETE,2018-07-30T08:14:26.739000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Dodoma Urban,Dodoma,,,Mkuyuni,Kikuyu-Kusini,FULL,,,,uuid:3386a2b0-52e8-492b-9901-cb0c46dc36cc,
013ab62b-99f8-45dd-8d66-ab8de511026e,,default,COMPLETE,2018-07-30T08:14:21.442000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Kongwa,Dodoma,,,Mautya,Ugogoni,FULL,,,,uuid:f70408dd-3bf7-44ca-81ae-f7283290f9d4,
01443628-2414-4b99-81d1-af7d2fb53359,,default,COMPLETE,2018-07-30T08:14:35.866000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Kiteto District Council,Dodoma,,,Makame,Makame,FULL,,,,uuid:72a328d5-4dcf-43ed-8fd4-ec3d2f211806,
014bca7a-96eb-49b2-a810-fc12d8b33876,,default,COMPLETE,2018-07-30T08:14:41.698000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Hanang District Council,Manyara,,,Getanuwas,Getanuwas Ward,FULL,,,,uuid:80335477-d5ff-40fe-85e9-b6d513df3f7a,
014c458d-dbda-4c86-b1c6-b3832fbd73fb,,default,COMPLETE,2018-07-30T08:14:35.317000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Kiteto District Council,Dodoma,,,Mafichoni,Kibaya,FULL,,,,uuid:6707b39e-ec80-45e6-9113-c279b3d7e55d,
01513dd7-18ec-4ca6-9159-d39848034eae,,default,COMPLETE,2018-07-30T08:14:29.786000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Bahi,Dodoma,,,Kigwe,Kigwe,FULL,,,,uuid:c489b624-ce35-487a-96e8-0f2e39f04b2f,
0158ce04-6855-4fcf-9b50-6b1679f43fb7,,default,COMPLETE,2018-07-30T08:14:14.442000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Kondoa,Dodoma,,,Serya,Serya,FULL,,,,uuid:ec6b66db-33e8-4434-9e67-11fda797781e,
01ae92d6-964a-4f7b-a695-0e81bb027a35,,default,COMPLETE,2018-07-30T08:14:30.042000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Bahi,Dodoma,,,Chali Igongo,Chali,FULL,,,,uuid:9aef3d02-269a-4fa8-bd5b-20b594687bb8,
01c3a77f-e326-4d2d-a3dc-3f86964505f1,,default,COMPLETE,2018-07-30T08:14:15.724000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Kondoa,Dodoma,,,Kwamafunchi,Changaa,FULL,,,,uuid:84ba7fb0-645f-4eb2-bde8-fa3b3f785d8e,
01c738e5-eb5c-4b55-962a-12bf28515125,,default,COMPLETE,2018-07-30T08:14:45.787000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Mbulu District Council,Manyara,,,Endaharghadatik,Haydom Ward,FULL,,,,uuid:cfebb4d2-84a6-420a-a5ec-776d909bf66f,
01fe75ea-db66-49b8-b3aa-32393c214ecb,,default,COMPLETE,2018-07-30T08:14:34.284000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Chemba,Dodoma,,,Mpendo,Mpendo,FULL,,,,uuid:2a7359cd-b5b7-4398-b1f8-925c33b227f5,
021f3915-54ac-48c4-a92b-f1a24819d953,,default,COMPLETE,2018-07-30T08:14:27.084000000,anonymous,sue,sue,false,uuid:fbee62be-2717-44b6-96f1-b0290aee29ee,Dodoma Urban,Dodoma,,,Mbabala B,Mbabala,FULL,,,,uuid:a21c6760-029d-4a12-93e8-3255bf3bb184,
