_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_create_user,_last_update_user,_deleted,_data_etag_at_modification,district,region,subvillage,veo,village,ward,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
003b669e-4b3c-4d0d-a5e3-8c17a4528053,,default,COMPLETE,2018-07-31T04:53:08.194000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Babati District Council,Manyara,,,Guse,Bashnet Ward,FULL,,,,uuid:1b13e74e-1923-49e0-92ed-132b0aeb890c,
0040daaa-924d-4a7a-af8d-3f490ab7f2d6,,default,COMPLETE,2018-07-31T04:52:50.740000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Dodoma Urban,Dodoma,,,Kitelela,Nzuguni,FULL,,,,uuid:db384724-d0d5-4a37-8383-5884626d65ae,
00611ac9-f9d5-4da9-a5da-fec87cbf8835,,default,COMPLETE,2018-07-31T04:52:39.357000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Mpwapwa,Dodoma,,,Nzugilo,Malolo,FULL,,,,uuid:89bebe09-7a86-4841-8451-c272b1c12008,
00dc977f-b45e-4b76-8781-f26d671fffba,,default,COMPLETE,2018-07-31T04:52:44.671000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Chamwino,Dodoma,,,Solowu,Itiso,FULL,,,,uuid:b0bbfdd4-537d-4eed-a0a9-755883c9f954,
0171f563-4c61-4af8-827d-e5f095fd3c1b,,default,COMPLETE,2018-07-31T04:52:49.806000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Dodoma Urban,Dodoma,,,Miyuji Proper,Miyuji,FULL,,,,uuid:1e7b72cd-3ad4-4019-b1d7-d41267becacc,
0173cbd9-ba97-449c-b140-bb092374bd25,,default,COMPLETE,2018-07-31T04:53:01.293000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Chemba,Dodoma,,,Gungi,Sanzawa,FULL,,,,uuid:3c193170-f399-43d9-a8c4-712579ccd6b5,
02482d2c-4282-4bc0-aa2d-59fadf7b24ba,,default,COMPLETE,2018-07-31T04:52:45.615000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Chamwino,Dodoma,,,Wilunze,Manchali,FULL,,,,uuid:7f158cc0-6900-41f4-bfe6-770050d77d61,
02a1a6a1-7184-433d-aa82-35ba7844e4cc,,default,COMPLETE,2018-07-31T04:53:06.206000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Babati District Council,Manyara,,,Hallu,Gallapo Ward,FULL,,,,uuid:bdbfb6e2-8403-40c1-a17d-ef979970a1dc,
036231b4-41ae-410c-a585-5e397a62af50,,default,COMPLETE,2018-07-31T04:52:36.781000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Mpwapwa,Dodoma,,,Mkanana,Berege,FULL,,,,uuid:dd5ee74e-5f91-4c05-a7be-41956bd79d71,
036bd703-f1f2-4baa-8fdc-041ebc4a1152,,default,COMPLETE,2018-07-31T04:53:14.919000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Mbulu District Council,Manyara,,,Qwam,Murray Ward,FULL,,,,uuid:c5f03d24-1c31-4324-844d-449845f60c55,
03bc0c37-15f2-4e0b-ba17-46794d64e622,,default,COMPLETE,2018-07-31T04:52:39.095000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Mpwapwa,Dodoma,,,Mtera,Mtera,FULL,,,,uuid:d196176b-d39d-4964-aaeb-5b6939095b91,
03bf4a3d-4207-4f3f-a533-0fc8ae5e8ce5,,default,COMPLETE,2018-07-31T04:53:18.108000000,anonymous,sue,sue,false,uuid:6d744042-793b-4c57-aba0-ae7026c35939,Mbulu District Council,Manyara,,,Haysali,Nahasey Ward,FULL,,,,uuid:adc635e2-1fb0-424d-bd9e-e28e83a0450e,
