_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_create_user,_last_update_user,_deleted,_data_etag_at_modification,district,region,subvillage,veo,village,ward,_default_access,_group_modify,_group_privileged,_group_read_only,_row_etag,_row_owner
004393ed-42d9-4c96-a096-48aa038f6c7d,,default,COMPLETE,2018-08-01T06:27:36.117000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Bahi,Dodoma,,,Nholi,Mpalanga,FULL,,,,uuid:1a234e32-944d-4311-aa21-6c8f4a4b1a72,
006c98e9-38f8-4788-9dc9-8c7096c03c3c,,default,COMPLETE,2018-08-01T06:27:31.568000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Dodoma Urban,Dodoma,,,Matumbulu,Mpunguzi,FULL,,,,uuid:055b8c6d-eb0e-4ab6-bbf0-8e0d62489787,
006e255e-e9e8-47a5-9540-4e257379ee5b,,default,COMPLETE,2018-08-01T06:27:44.804000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Babati District Council,Manyara,,,Sangara,Riroda Ward,FULL,,,,uuid:69c47013-33c7-47a8-b1d2-9450d2e7501d,
00fec7a1-f18b-47a3-876e-eec8c9d9eae4,,default,COMPLETE,2018-08-01T06:27:24.377000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Kongwa,Dodoma,,,Chamkoroma,Chamkoroma,FULL,,,,uuid:c529da63-5818-4011-8449-b5d4132bfceb,
0132cfbe-c2db-49a0-9ffe-8f43383c9be3,,default,COMPLETE,2018-08-01T06:27:28.500000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Chamwino,Dodoma,,,Miganga,Idifu,FULL,,,,uuid:6148ff6f-9853-4f42-b4f1-1d322b2d82da,
01354719-0a13-494d-98a4-fa544df2350e,,default,COMPLETE,2018-08-01T06:27:33.358000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Dodoma Urban,Dodoma,,,Bwawani,Kizota,FULL,,,,uuid:6639a259-298e-4f2f-ab5b-85727c860fe6,
01f759da-982c-4bcc-9836-dd0b8152ba96,,default,COMPLETE,2018-08-01T06:27:19.060000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Kondoa,Dodoma,,,Tumbelo,Changaa,FULL,,,,uuid:962fefe5-5538-434a-9792-f2b796760100,
0227122c-7b08-4174-8c68-a4e1f03ba0f1,,default,COMPLETE,2018-08-01T06:27:23.718000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Kongwa,Dodoma,,,Suguta,Iduo,FULL,,,,uuid:ac296d25-b431-4761-baef-e790e2e9183f,
0248867e-14ca-482e-84bd-444290154e02,,default,COMPLETE,2018-08-01T06:27:54.835000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Mbulu District Council,Manyara,,,Muslur,Dinamu Ward,FULL,,,,uuid:0f2bf010-f3f1-460f-aea6-eed1e4cb6948,
027444fe-dff5-4db2-8b64-49aa6d7d77f5,,default,COMPLETE,2018-08-01T06:27:35.646000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Bahi,Dodoma,,,Chimendeli,Chikola,FULL,,,,uuid:77cc6f18-e0e4-48a1-bb0f-360101fc1964,
028d2352-e037-42cb-ab85-cc11b5873cd3,,default,COMPLETE,2018-08-01T06:27:49.366000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Hanang District Council,Manyara,,,Mara,Measkron Ward,FULL,,,,uuid:675348cf-a22f-4c59-acb1-280bd1464f20,
02a1c193-f1c8-4104-a130-418788abba97,,default,COMPLETE,2018-08-01T06:27:19.574000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Mpwapwa,Dodoma,,,Kisokwe,Mazae,FULL,,,,uuid:06cba037-11be-4db9-9a80-e19f061d03c5,
02bc7824-e2d6-41fa-bf6a-1470f0126ee3,,default,COMPLETE,2018-08-01T06:27:50.271000000,anonymous,sue,sue,false,uuid:c5b1d1b2-5565-4374-bbc5-9ddfdcceabd5,Hanang District Council,Manyara,,,Ganana 'A',Ganana Ward,FULL,,,,uuid:e5adfdc4-6abd-4946-be3f-34292b4df4a8,
